RFd50mm_5920012,TNd23_GK48617,TNd23_KB48615,TXd34_GK48617,RFd50mm_6022001,RFd50mm_5922001,RFd50mm_5921009,RFd50mm_KB48615,RFd50mm_6121067,RFd50mm_6021010,TXd34_KB48615,RFd50mm_6023001,RFd50mm_6021060,RFd50mm_6021013,WLdDanger_6019411,RFd50mm_6022062,Cases
1,0,0,0,0,0.2,1,0.4,0,0,0,0,0,0,0.285714286,0,High
0.142857143,0.285714286,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,Low
0,0.142857143,0.142857143,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,Low
0.142857143,0.142857143,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,Low
0.142857143,0.142857143,0,0.142857143,0,0.2,0,0,0,0,0,0,0,0,0,0,Low
0.142857143,0.285714286,0,0.571428571,0,0,0,0,0.4,0,0.285714286,0,0,0,0.142857143,0,High
0.285714286,0,0,0,0,0,0.2,0,1,0.25,0,0,0,0,0,0,High
0.285714286,0,0,0.142857143,0.5,0,0.2,0,0.2,0,0.142857143,0.25,0,0,0,0,Low
0,0,0.142857143,0,0,0,0,0,0,0.25,0,0,0,0,0,0,Low
0,0.571428571,0.428571429,0.142857143,0,0,0,0,0,0,0,0,0.2,0.166666667,0,0.2,Low
0,0,0,0,0,0,0,0.2,0,0,0,0,0.4,0.333333333,0,0.4,High
0,0,0,0.142857143,0.25,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0.4,0,0,0.2,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,High
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,High
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0.75,0.2,0,0,0,0,0,0.25,0,0,0,0,Low
0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,Low
0,0.285714286,0,0,0,0.6,0,0,0,0,0,0,0.2,0,0,0,Low
0,0.285714286,0.285714286,0,0.25,0.6,0,0,0.2,0,0,0,0,0,0,0,Low
0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,Low
0,0,0.142857143,0,0.25,0,0,0,0,0,0,0,0.2,0,0,0.2,Low
0,0.285714286,0.142857143,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,Low
0,0.142857143,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High
0,0,0,0,0,0.2,0,0,0,0.25,0,0,0,0.166666667,0,0.2,Low
0,0.142857143,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,High
0,0.142857143,0,0,0,0,0,0,0,0,0,0.25,0,0.166666667,0,0,Low
0.285714286,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,Low
0,0.285714286,0.142857143,0,0,0,0,0,0,0,0,0,0.2,0,0,0,Low
0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High
0,0,0,0,0,0,0.2,0,0,0,0,0.25,0,0,0,0,Low
0,0,0.285714286,0,0,0,0.2,0,0,0,0,0.25,0,0,0,0.2,High
0,0,0.142857143,0,0,0,0,0,0,0.25,0,0,0.2,0.166666667,0,0,High
0.142857143,0,0,0,0,0,0,0.2,0.2,0,0,0.25,0,0.166666667,0,0,High
0.142857143,0,0.142857143,0,0,0,0.2,0,0,0.25,0,0,0,0,0,0,High
0,0,0.142857143,0,0,0,0,0,0,0,0,0,0.2,0.333333333,0,0.2,Low
0,0,0,0,0,0.2,0.2,0.6,0.2,0,0,0,1,1,0,0.8,High
0.142857143,0,0,0,0,0,0.2,0.8,0,0.25,0,0,0.2,0,0,0.2,Low
0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High
0.142857143,0,0,0,0,0,0.4,0,0,0.5,0,0.25,0.2,0,0,0.2,Low
0.142857143,0.142857143,0.428571429,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,High
0,0.428571429,0.428571429,0,0,0,0,0,0,0,0,0,0.2,0.166666667,0,0.2,High
0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.166666667,0,0.2,Low
0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0.2,Low
0.285714286,0.285714286,0.428571429,0,0,0,0.4,0,0,0.25,0,0,0,0,0,0,High
0.285714286,0.428571429,0.285714286,0,0,0,0.4,0,0.6,0.5,0,0,0,0,0,0,High
0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,High
0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,High
0,0.857142857,0.714285714,0,0,0,0.2,0.2,0,0.25,0,0,0,0,0,0,Low
0,0.428571429,0.714285714,0.142857143,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,Low
0,0.142857143,0,0.142857143,0,0,0,0,0.4,0.25,0.142857143,0,0,0,0,0,Low
0,0.142857143,0,0,0,0,0,0,0.2,0,0.142857143,0,0,0,0,0,High
0,0,0,0.142857143,0,0,0,0,0.4,0,0.142857143,0,0,0,0,0,Low
0,0,0,0.285714286,0.25,0,0,0,0,0,0.285714286,0,0,0,0,0,Low
0,0,0,0.285714286,0,0,0,0,0.2,0,0.571428571,0,0,0.166666667,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,Low
0,0,0,0.285714286,0,0.2,0,0,0,0,0.428571429,0,0,0,0,0,Low
0,0,0.142857143,0,0.5,0,0,0,0,0,0.142857143,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,Low
0,0,0,0.285714286,0,0,0,0,0,0,0.571428571,0,0,0,0,0,Low
0,0,0,0,0.5,0,0,0,0,0,0,0,0.2,0.166666667,0,0,Low
0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,Low
0,0.142857143,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,Low
0,0.142857143,0,0,0,0,0.2,0,0,0.25,0,0,0,0,0,0,Low
0.142857143,0.142857143,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,High
0,0.142857143,0.142857143,0,0.25,0.6,0,0,0,0,0,0,0.2,0,0,0,Low
0,0,0,0,0,0.4,0.2,0,0,0.25,0,0,0,0,0,0,Low
0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0.2,Low
0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0.142857143,0,0,0,0,0.2,0,0,0,0,0,0,0,0.166666667,0,0,Low
0,0.142857143,0,0,0,0.2,0,0,0,0,0,0,0,0.166666667,0,0,High
0,0.142857143,0,0.142857143,0,0,0,0,0,0.25,0,0,0,0,0,0,High
0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.166666667,0,0,Low
0,0.285714286,0.142857143,0,0,0,0,0,0.2,0,0,0.25,0,0,0,0,Low
0,0.571428571,0.142857143,0,0,0,0,0.2,0,0,0,0,0,0,0,0,Low
0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0.142857143,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0.2,0,0,0,Low
0.142857143,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,Low
0,0,0,0,0,0,0.2,0,0,0.25,0,0.25,0,0,0,0,High
0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.333333333,0,0.4,Low
0,0.285714286,0.142857143,0,0,0,0,0.2,0,0,0,0,0.2,0.333333333,0,0.2,Low
0,0,0,0,0,0,0,0.4,0.2,0,0,0.25,0,0,0,0,Low
0,0,0,0,0.25,0,0,0,0,0,0,1,0,0,0,0,Low
0.142857143,0,0,0,0,0,0,0,0,0,0,0.5,0,0.166666667,0,0,Low
0,0,0,0,0,0,0,0.4,0,0.25,0,0.25,0.2,0.333333333,0,0.4,Low
0,0.142857143,0,0,0,0,0,0.2,0,0,0,0,0.4,0.5,0,0.4,Low
0,0,0,0,0,0,0,0.4,0,0,0,0.25,0,0.166666667,0,0.2,Low
0,0,0,0,0,0,0.2,0.4,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.166666667,0,0.2,Low
0,0.285714286,0.142857143,0.142857143,0,0,0,0.2,0,0,0,0,0,0,0,0,High
0,0,0,0.142857143,0,0,0,0,0,0,0.142857143,0,0.2,0,0.142857143,0.2,Low
0.428571429,0,0,0,0,0,0.8,0,0,1,0.142857143,0,0,0,0.714285714,0,High
0.142857143,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0.166666667,0,0,Low
0,0.285714286,0,0.142857143,0,0,0,0,0.2,0,0.428571429,0,0,0,0.571428571,0,High
0.285714286,0.428571429,0.285714286,0.714285714,0,0,0.2,0,0,0.25,0.571428571,0,0,0,0,0,Low
0,0,0,0.571428571,0,0,0,0,0.2,0,0.571428571,0,0,0,0,0,Low
0,0.428571429,0.428571429,1,0,0.2,0,0,0.2,0,1,0,0,0,0,0,Low
0,0.714285714,0.428571429,0.857142857,0,0,0,0,0.4,0,1,0,0,0,0,0,Low
0,0.285714286,0.142857143,0.428571429,0.25,0,0,0,0,0,0.428571429,0,0,0,0,0,Low
0,0.571428571,0.571428571,0.285714286,0.25,0,0,0,0,0,0,0,0,0,0,0,Low
0,0.714285714,0.714285714,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0.285714286,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,Low
0.142857143,0.142857143,0,0.285714286,0,0,0.2,0,0,0.25,0.142857143,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,Low
0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0.2,Low
0,0,0,0,0,0,0,0,0,0,0.142857143,0.25,0.2,0,0,0.2,Low
0,0,0,0.428571429,0.25,0,0,0,0,0,0.428571429,0,0,0,0,0,Low
0,0,0,0.142857143,0,0,0,0,0,0,0.142857143,0,0.4,0.166666667,0,0.2,Low
0,0,0,0,0.75,0,0,0.2,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0.285714286,0,0,0,0.2,0,0,0,0,0,0,0,0,Low
0,0,0,0.142857143,0,0,0,0.2,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.166666667,0,0,Low
0.142857143,0,0,0,0,0,0,0.2,0,0.25,0,0,0,0.166666667,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,Low
0.142857143,0.285714286,0.285714286,0,0,0,0,0,0,0.25,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,Low
0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,Low
0,0.142857143,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.166666667,0,0.2,Low
0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0.2,0,0,0,0,0.8,0.666666667,0,0.8,Low
0,0,0,0,0,0,0,0.8,0,0,0,0,0,0.166666667,0,0,Low
0,0.142857143,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,Low
0,0.142857143,0,0,0.5,0.2,0,0,0,0,0,0,0.2,0,0,0,Low
0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,Low
